purItem_up__ID;purItem_ID;taskListItem_up__ID;taskListItem_ID
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;k7ca879d-1f2f-4bc6-9066-a42f6536dafa;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00020;k7ca879d-1f2f-4bc6-9066-a42f6536dafa;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;k7ca879d-1f2f-4bc6-9066-a42f6536dafa;00020
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;k7ca879d-1f2f-4bc6-9066-a42f6536dafa;00030
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;k7ca879d-1f2f-4bc6-9066-a42f6536dafa;00040
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;ke7723ca-ed9e-4b7f-b6ca-0b038848e712;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;ka576d02-5702-4d19-92cd-90ade0d94294;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;ka576d02-5702-4d19-92cd-90ade0d94294;00020
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;ka576d02-5702-4d19-92cd-90ade0d94294;00030
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00010;k0706964-b830-491c-993f-a39f60d22d8d;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00020;k0706964-b830-491c-993f-a39f60d22d8d;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00030;k0706964-b830-491c-993f-a39f60d22d8d;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00040;k0706964-b830-491c-993f-a39f60d22d8d;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00050;k0706964-b830-491c-993f-a39f60d22d8d;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00028;k0706964-b830-491c-993f-a39f60d22d8d;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00060;k0706964-b830-491c-993f-a39f60d22d8d;00010
C8cda5d5-e570-476b-8a23-4f5a59a25k03;00070;k0706964-b830-491c-993f-a39f60d22d8d;00010
