up__ID;ID;description;status_code;validFrom;validTo;lineOfBusiness;jobIndicator;additionalIndicator;domesticIntl_code;serviceType_code;purDoc_ID
17ca879d-1f2f-4bc6-9066-a42f6536dafa;00010;First profile - Operation First Line;A;2021-12-17;2023-12-01;airport;false;false;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
17ca879d-1f2f-4bc6-9066-a42f6536dafa;00020;First profile - Operation First Line;A;2021-12-17;2023-12-01;airport;true;false;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
17ca879d-1f2f-4bc6-9066-a42f6536dafa;00030;First profile - Operation First Line;A;2021-12-17;2023-12-01;airport;true;true;D;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
17ca879d-1f2f-4bc6-9066-a42f6536dafa;00040;First profile - Operation Second Line;A;2021-12-17;2023-12-01;airport;false;true;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
4e7723ca-ed9e-4b7f-b6ca-0b038848e712;00010;Second profile- First Line;A;2021-12-17;2023-12-01;airport;false;false;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
1a576d02-5702-4d19-92cd-90ade0d94294;00010;Third profile - Operation First Line;A;2021-12-17;2023-12-01;airport;false;true;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
1a576d02-5702-4d19-92cd-90ade0d94294;00020;Third profile - Operation First Line;A;2021-12-17;2023-12-01;airport;true;false;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
1a576d02-5702-4d19-92cd-90ade0d94294;00030;Third profile - Operation First Line;A;2021-12-17;2023-12-01;airport;true;false;D;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
c0706964-b830-491c-993f-a39f60d22d8d;00040;Fourth profile - Operation Second Line;A;2021-12-17;2023-12-01;airport;false;false;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
c0706964-b830-491c-993f-a39f60d22d8d;00010;Fourth profile- First Line;A;2021-12-17;2023-12-01;airport;false;false;I;P;08cda5d5-e570-476b-8a23-4f5a59a25c03
